department,region,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,kpis_met_>80%,awards_won?,avg_training_score,is_promoted,education_bachelors,education_below_secondary,education_masters_&_above
1,7,0,1,1,35,5.0,3,1,0,50,1,1,1,0
1,28,1,1,1,33,5.0,6,1,0,51,1,1,1,0
1,4,1,3,1,50,4.0,17,1,0,47,1,1,1,1
7,22,1,3,1,27,1.0,1,1,1,58,1,1,1,0
1,22,1,1,1,27,1.0,1,0,0,61,1,1,1,0
4,31,1,3,1,30,3.0,7,1,0,84,1,1,1,0
3,22,1,3,1,34,5.0,7,1,0,78,1,1,1,1
1,2,1,1,1,38,4.0,2,1,0,49,1,1,1,1
1,22,1,1,1,30,3.0,3,0,0,58,1,1,1,0
9,7,1,3,1,29,1.0,1,0,0,65,1,1,1,0
2,11,0,1,1,42,5.0,11,1,0,60,1,1,1,1
6,7,1,1,1,32,5.0,3,1,0,69,1,1,1,1
2,15,1,3,1,31,5.0,4,1,0,63,1,1,1,0
2,13,1,3,1,35,4.0,6,1,0,57,1,1,1,0
1,7,0,3,1,40,3.0,2,1,0,90,1,1,1,0
3,2,1,3,1,27,5.0,2,0,0,86,1,1,1,0
6,23,0,3,1,27,4.0,4,1,0,72,1,1,1,0
1,25,1,3,1,34,5.0,7,1,0,51,1,1,1,1
6,34,1,1,1,37,5.0,3,0,1,92,1,1,1,1
4,22,1,3,1,32,3.0,8,0,0,89,1,1,1,0
3,5,0,3,2,34,5.0,8,0,0,88,1,1,1,0
6,2,1,1,1,25,5.0,3,1,0,70,1,1,1,0
2,13,1,3,1,43,3.0,7,1,0,56,1,1,1,1
1,17,1,3,1,34,4.0,7,1,0,48,1,1,1,0
1,23,0,1,1,34,4.0,5,1,1,94,1,1,1,1
2,13,0,3,1,38,5.0,2,1,1,93,1,1,1,1
2,22,1,1,2,37,2.0,4,1,0,57,1,1,1,0
6,2,0,3,1,29,4.0,2,1,0,95,1,1,1,0
4,20,1,3,1,40,5.0,5,0,1,83,1,1,1,1
2,22,1,3,1,34,3.0,3,0,0,75,1,1,1,1
1,2,1,3,1,22,5.0,2,0,0,62,1,1,1,0
6,2,0,3,2,26,5.0,2,1,0,68,1,1,1,0
6,12,0,3,1,32,5.0,5,0,1,84,1,1,1,0
5,22,1,3,1,30,4.0,2,1,0,96,1,1,1,1
1,26,1,3,1,45,4.0,15,0,0,64,1,1,1,0
1,2,0,3,1,34,5.0,5,0,0,60,1,1,1,0
1,28,1,3,1,24,2.0,2,1,0,52,1,1,1,0
1,1,1,3,1,37,3.0,10,1,0,49,1,1,1,1
2,14,1,3,1,35,5.0,10,1,0,59,1,1,1,0
3,13,0,3,1,33,3.0,4,1,0,76,1,1,1,0
1,7,0,1,1,32,5.0,8,1,0,46,1,1,1,0
2,7,0,3,1,45,3.0,4,0,1,65,1,1,1,0
2,22,0,1,1,48,3.0,15,0,0,69,1,1,1,1
6,17,1,3,1,45,3.0,16,0,0,87,1,1,1,1
2,22,1,3,3,32,3.0,4,1,0,64,1,1,1,1
2,7,0,1,1,33,5.0,6,0,0,74,1,1,1,1
1,12,1,1,1,35,4.0,10,1,0,50,1,1,1,0
2,7,1,3,1,33,5.0,8,1,0,59,1,1,1,0
1,2,0,1,1,34,2.0,7,1,0,49,1,1,1,0
4,28,1,3,1,36,5.0,3,1,0,91,1,1,1,0
6,23,1,3,2,35,5.0,6,1,0,91,1,1,1,1
5,29,1,1,1,30,5.0,1,0,0,96,1,1,1,0
6,26,1,3,1,28,1.0,1,0,0,82,1,1,1,0
5,7,1,1,2,32,5.0,3,1,0,83,1,1,1,0
1,26,1,1,1,40,3.0,18,1,0,55,1,1,1,0
