neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,days_before_latest_review,reviews_per_month,calculated_host_listings_count,availability_365
1,1.33235,103.78521,2,81,90,18,1705.0,0.2468600779315258,1,365
2,1.28875,103.80814,2,44,15,18,128.0,0.20701416938432612,32,331
2,1.28837,103.81099,2,40,30,10,348.0,0.10436001532424286,32,276
3,1.31125,103.83816,2,65,2,125,5.0,0.8544153281560676,6,336
2,1.28976,103.80896,2,44,30,13,206.0,0.13976194237515863,32,340
2,1.28677,103.81244,2,40,30,10,122.0,0.1310282624064042,32,331
2,1.28537,103.81087,2,31,90,3,1100.0,0.03922071315328133,32,361
4,1.3142,103.90232,2,81,90,0,1887.0,0.0,1,173
3,1.3115,103.83759,2,60,2,84,48.0,0.7747271675523681,6,340
3,1.31159,103.83805,2,60,2,157,12.0,1.0116009116784799,6,349
5,1.29345,103.83562,2,56,90,27,750.0,0.30748469974796055,1,364
1,1.33171,103.79383,3,276,4,11,597.0,0.12221763272424911,1,362
6,1.30109,103.85234,2,167,180,0,1887.0,0.0,1,365
1,1.31016,103.79853,2,100,90,28,745.0,0.28517894223366247,1,90
7,1.30901,103.79639,1,208,1,0,1887.0,0.0,1,0
8,1.30377,103.89956,2,165,2,68,32.0,0.6043159668533296,5,167
9,1.34143,103.84945,2,51,92,48,6.0,0.47623417899637155,1,179
10,1.28315,103.84213,2,44,90,2,16.0,0.01980262729617973,112,365
7,1.28342,103.78585,2,128,3,0,1887.0,0.0,1,365
2,1.28909,103.80749,2,40,30,13,11.0,0.1570037488096647,32,331
8,1.30529,103.9042,3,300,2,37,564.0,0.37843643572024505,5,221
8,1.30392,103.89988,2,150,2,68,92.0,0.6097655716208942,5,173
11,1.29839,103.82808,3,200,60,9,561.0,0.10436001532424286,3,334
2,1.27681,103.82381,2,150,1,2,214.0,0.04879016416943204,1,208
12,1.31357,103.85731,2,100,365,0,1887.0,0.0,1,365
10,1.28291,103.84284,2,65,90,3,536.0,0.03922071315328133,112,0
13,1.31314,103.84081,3,243,5,14,1148.0,0.17395330712343798,1,143
4,1.31525,103.88176,2,35,18,6,38.0,0.13976194237515863,112,359
14,1.27529,103.84494,3,219,60,6,563.0,0.0769610411361284,3,350
10,1.28491,103.84209,2,60,28,6,747.0,0.14842000511827322,112,333
13,1.33334,103.8327,2,69,2,222,4.0,1.3480731482996928,2,0
5,1.29349,103.83837,3,140,2,145,5.0,1.1118575154181303,1,230
12,1.31135,103.85946,2,49,18,2,1282.0,0.04879016416943204,112,360
12,1.29638,103.87282,2,81,90,14,1679.0,0.16551443847757333,1,0
15,1.28708,103.84444,3,231,90,28,409.0,0.3364722366212129,2,119
8,1.29891,103.88681,3,190,9,29,24.0,0.32930374714260047,1,277
11,1.31693,103.82636,3,319,7,42,84.0,0.47623417899637155,19,330
11,1.31503,103.82614,3,149,7,29,118.0,0.35065687161316933,19,0
